time,h,v,h_sim,v_sim
0.0,0.0006625833380711616,0.0009008748097750741,0.0006625833380711616,0.0009008748097750741
0.7380657346517663,0.0006688002097180026,0.000926933971806079,0.0006840482056909952,0.000985956560787375
2.4157872160096514,0.0006836084311552419,0.0009915853172403136,0.0006790895141111601,0.0010748901908718461
4.8916208176859515,0.000662583338071129,0.0010907572408039457,0.0007379642269418943,0.0011578124307496853
7.964768483858636,0.0007483551837703394,0.0012019790296910263,0.0010036198798114185,0.0012244404870852205
11.386222552196587,0.001564098356823819,0.0012739967138503143,0.0016282320109907886,0.0012669430922440101
14.878787425929128,0.0035464833210335743,0.0012890357088641232,0.002732939564150185,0.001282753973181124
18.159517216027808,0.0061959655289556,0.001272368349388982,0.004347130030809417,0.001277166034226203
20.962640790754854,0.008775664320959432,0.0012396824763652025,0.006224735308546357,0.0012603557913229253
23.061129774217175,0.010813674124771862,0.0012022462490058532,0.008263735520721899,0.0012344999746886581
24.285489742616225,0.01205050500244939,0.0011699993481588148,0.010412925808722535,0.0011959524306818798
24.57840568029912,0.012353113533179588,0.001160951062727995,0.012216414008999489,0.0011538965834654786
24.57840568029912,0.012353113533179591,0.0011609510627279905,0.012216414008999489,0.0011538965834654786
25.316471414950886,0.013123746102705836,0.0011376221822042164,0.014508978600149564,0.0010854712342658294
26.99419289630877,0.014893580678597475,0.0010838597343930906,0.016789331501560634,0.0010118612314278643
29.47002649798507,0.017474570287274324,0.0009976261432973316,0.018968758824624586,0.0009378049649525094
32.543174164157755,0.020510323499720068,0.0008875087336828063,0.021008442586232853,0.0008640441473915881
35.964628232495706,0.023574782882827813,0.0007620775547999227,0.02288268401805069,0.0007898192879488311
39.457193106228246,0.026157441832077667,0.000633653077845123,0.02456567992448333,0.0007150701498868463
42.73792289632693,0.02792746471803837,0.0005380416938782285,0.025990425466184762,0.0006458581945536853
45.541046471053974,0.0289884139865468,0.00048234778823284634,0.02718663142283377,0.0005872336691669757
47.6395354545163,0.02956872786316492,0.00045916292181974634,0.028150775571421646,0.0005447461654728721
48.86389542291535,0.029847788089935958,0.00045192436515529996,0.028896809560816115,0.0005208553421948344
49.15681136059824,0.02990749454009424,0.0004513160304355581,0.029382928081635996,0.0005134142515115496
49.15681136059824,0.029907494540094233,0.0004513160304355569,0.029382928081635996,0.0005134142515115496
49.89487709525,0.03004818059939521,0.00045157703284442075,0.02975566469008676,0.0005276114801941675
51.57259857660789,0.030300294363914453,0.00046632543244769415,0.029975361284977037,0.0005627746240772698
54.04843217828419,0.03046330556486668,0.0005357780127731134,0.030025135703236238,0.000617264175060352
57.121579844456896,0.03026493534093512,0.0006848248214430929,0.029912398425312976,0.0006874381242612718
60.54303391279485,0.02959551275381201,0.0008527562108894113,0.029653544294309542,0.0007687225650358583
64.03559878652737,0.02861697467171403,0.00099663241548674,0.0292712075695594,0.0008566874465062587
67.31632857662605,0.02764776272761247,0.0011222318971466812,0.028793556519994153,0.0009482078117461234
70.11945215135309,0.026911714494828334,0.0012258426828854019,0.028255758033768157,0.0010416413710284838
72.21794113481546,0.026454985580274176,0.0013006727933066757,0.02766857521411275,0.001136850696273332
73.44230110321449,0.02626673931791777,0.001336587029490907,0.02706287158901722,0.001229903666028944
73.73521704089738,0.026234683469258644,0.0013442074848246572,0.026563866867075122,0.0013033852110319784
73.73521704089738,0.026234683469258644,0.0013442074848246542,0.026563866867075122,0.0013033852110319784
74.47328277554914,0.02618253230718771,0.0013623731352734017,0.026228492289858123,0.001374595395963033
76.15100425690703,0.026184170922376945,0.0014041263722803763,0.026004507212721396,0.001446758812886236
78.62683785858333,0.026383644897586003,0.0014660005895085156,0.025955750101519653,0.0015102737822870955
81.69998552475602,0.027005602734292606,0.0015226439635215886,0.026153054438983664,0.0015616434072019036
85.12143959309397,0.028406703610903968,0.0015545502537770255,0.02665123843137592,0.0016014542142797547
88.6140044668265,0.03031874195675824,0.0015791480346542665,0.027423331621517524,0.001635333775743132
91.89473425692519,0.03211085115943556,0.0016083094999805145,0.028316228412456724,0.0016689221130035679
94.69785783165221,0.03345543081104057,0.0016404432024615698,0.029203337039328644,0.001704473512923676
96.79634681511457,0.03427148071327958,0.0016718119014991505,0.03001659070748278,0.0017442685054577605
